brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
msi,MSI Thin GF63 11SC-853IN Gaming ,49990,71.0,Intel,i5,11.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,2.0
hp,HP 15s-eq2144au ,45729,61.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Victus 15-fa0165TX ,68200,73.0,Intel,i5,12.0,8,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus VivoBook 14 X415JA-BV301WS ,28990,,Intel,i3,10.0,2,8.0,8,ram,Hard Disk,1024.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 245 G8 62G68PA ,27999,,AMD,ryzen,3.0,2,8.0,8,ddr4,Hard Disk,1024.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 15 OLED M3500QC-L1502WS Gaming ,69490,67.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 15s-eq2182AU ,50490,63.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion 15-eg2009TU ,63490,62.0,Intel,i5,12.0,12,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
jio,Jio JioBook NB1112MM Notebook,21999,,MediaTek,mt8788,,8,2.0,2,ram,Hard Disk,64.0,14.0, 1366 x 768 ,Android 11 ,1.0
asus,Asus Vivobook Pro 15 OLED K6502HCB-LP901WS Gaming ,94280,69.0,Intel,i9,11.0,8,16.0,16,ram,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3520 ,55111,,Intel,i5,12.0,10,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
dell,Dell Inspiron 5320 ,84918,65.0,Intel,i7,12.0,12,16.0,16,ddr5,SSD,512.0,13.3, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Pavilion x360 14-ek0074TU ,73490,68.0,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Victus 15-fb0040AX Gaming ,59990,72.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 14s-dy5005TU ,58899,,Intel,i5,12.0,10,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Slim 1 82R10049IN ,33019,60.0,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
i-life,i-Life ZED ZED Book Grin ,8900,,Intel,atom,,4,2.0,2,ddr3,Hard Disk,,,,Windows 10 ,1.0
hp,HP 15s- eq2212AU ,37950,,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix Zero Book Ultra ,79490,65.0,Intel,i9,12.0,14,16.0,16,lpddr5,SSD,512.0,,,Windows 11 ,
dell,Dell Inspiron 3520 D560869WIN9B ,47990,65.0,Intel,i3,12.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer One 14 Z2-493 ,20990,,AMD,ryzen,3.0,2,4.0,4,ddr4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
hp,HP Victus 16-e0352AX Gaming ,63990,72.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,16.1, 1920 x 1080 ,Windows 11 ,1.0
